Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Rec.Lng,YAC,Rec.1stD,Rec.TD,Rush,Rush.Yds,Rush.YG,Rush.Avg,Rush.TD,Fum,FumL,year
 Steve Maneri,KAN,6,1,NA,1,0.2,1,1,2,0,0,0,0,0,NA,0,0,0,2011
 Collin Franklin,TAM,2,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Kris Wilson,BAL,15,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Dominique Byrd,SEA,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Martin Rucker,DAL,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Mike Leach,ARI,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Justin Snow,IND,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Richard Quinn,WAS,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Dan Gronkowski,CLE,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Fendi Onobun,JAC,1,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Brian Jennings,SFO,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Ben Hartsock,CAR,15,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 Joe Zelenka,ATL,16,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
 David Martin,BUF,3,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2011
Jason Whiten,DAL,16,110,148,1039,64.9,9.4,36,2.8,56,3,0,0,0,NA,0,0,0,2012
Jimmy Graham,NOR,15,85,135,982,65.5,11.6,46,3.9,59,9,0,0,0,NA,0,1,0,2012
Tony Gonzalez,ATL,16,93,124,930,58.1,10,25,2.8,65,8,0,0,0,NA,0,0,0,2012
Greg Olsen,CAR,16,69,104,843,52.7,12.2,47,3.9,42,5,0,0,0,NA,0,0,0,2012
Heath Miller,PIT,15,71,101,816,54.4,11.5,43,5.2,44,8,0,0,0,NA,0,1,0,2012
